current;correct
Creative Commons Attribution-NonCommercial Australia 2.5;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
EL conjunto de datos se encuentra libre a nivel interno con notificación previa.;Libre a nivel interno con notificación previa
El conjunto de datos se encuentra libre a nivel interno con notificación previa.;Libre a nivel interno con notificación previa
"El conjunto de datos se encuentra libre a nivel interno y externo, y puede ser descargado a través de la URL en la sección ""Enlaces externos"".";Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
El conjunto de datos se encuentra libre a nivel interno y externo, y puede ser descargado a través del SiB Colombia.;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
El conjunto de datos se encuentra libre a nivel interno y externo.;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
El conjunto de datos se encuentra libre a nivel interno.;Libre a nivel interno
El conjunto de datos se encuentra restringido temporalmente.;Restringido temporalmente
El recurso se encuentra libre a nivel interno y externo, y los datos pueden ser descargados a través del SiB Colombia.;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Esta [DATA(BASE)-NAME] se hace disponible bajo la licencia Open Data Commons Attribution:http://www.opendatacommons.org/licenses/by/1.0/;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Esta [Listado de las Arañas de Colombia (Arachnida: Araneae)] se hace disponible bajo la licencia Open Data Commons Attribution: http://www.opendatacommons.org/licenses/by/1.0/;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Este trabajo está bajo una licencia Creative Common Atribución (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/deed.es;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode.;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Existe restricción de uso temporal de los conjuntos de datos asociados al presente recurso ya que se está a la espera de la publicación del Catalogo de Plantas.;Restringido temporalmente
Existen restricciones de acceso temporales para este recurso.;Restringido temporalmente
Financiar el desarrollo de las caracterizaciones poblacionales de iguanas en el Club Miramar de Barrancabermeja, conforme a lo establecido en el proyecto “Propuesta para el desarrollo de los estudios poblacionales contemplados dentro del Convenio de Colaboración DHS 5211426 entre Ecopetrol y el Instituto Alexander von Humboldt: Adopte su logo, conservación de la iguana verde en Colombia”, componente UIS.;Restringido temporalmente
Libre a interno con notificación previa;Libre a nivel interno con notificación previa
Libre a nivel externo e interno;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel externo e interno (CC BY-NC-SA 3.0);Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel externo e interno (licencia CC BY-NC-SA 3.0);Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel externo e interno (licencia CC BY-NC-SA 3.0).;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno;Libre a nivel interno
Libre a nivel interno (licencia CC BY-NC-SA 3.0);Libre a nivel interno
Libre a nivel interno con notificación previa;Libre a nivel interno con notificación previa
Libre a nivel interno con notificación previa.;Libre a nivel interno con notificación previa
Libre a nivel interno interno y externo.;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno y externo;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno y externo  (licencia CC BY-NC-SA 3.0);Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno y externo  (licencia CC BY-NC-SA 3.0).;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno y externo (CC BY-NC-SA 3.0).;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno y externo (licencia CC BY-NC-SA 3.0);Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno y externo (licencia CC BY-NC-SA 3.0).;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno y externo.;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno.;Libre a nivel interno
Libres a nivel interno;Libre a nivel interno
Libres a nivel interno con notificación previa;Libre a nivel interno con notificación previa
Los datos de este recurso se encuentra restringidos temporalmente.;Restringido temporalmente
Parte del conjunto de datos se encuentra restringido temporalmente (información de levantamiento en campo). Los registros biológicos pueden ser descargados a través del SiB Colombia.;Restringido temporalmente
Parte del conjunto de datos se encuentra restringido temporalmente. Los registros biológicos pueden ser descargados a través del SiB Colombia.;Restringido temporalmente
Restricción temporal;Restringido temporalmente
Restringido temporalmente;Restringido temporalmente
Restringido temporalmente.;Restringido temporalmente
This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode.;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
http://i2d.humboldt.org.co/ceiba/resource.do?r=cuencas_faunaflora_is_2014;Libre a nivel interno
no restrictions;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Él conjunto de datos se encuentra restringido temporalmente.;Restringido temporalmente
Libre a nivel externo e interno.;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre interna y externamente;Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno con solicitud previa.;Libre a nivel interno con notificación previa
Libre a nivel interno y externo (licencia CC BY-NC-SA 3.0) (http://creativecommons.org/licenses/by-nc-sa/3.0/);Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
Libre a nivel interno y externo (licencia CC BY-NC 4.0);Libre a nivel interno y externo (Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0)
